codigo_ibge,microrregiao,atividade,descricao,grupo_vab,variavel_sidra,ano,vab_micro_mil_reais,vab_sc_mil_reais,vab_brasil_mil_reais,peso_micro_brasil,peso_micro_sc,peso_sc_brasil
42002,Chapecó,0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1092,Fabricação e refino de açúcar,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1093,Outros produtos alimentares,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1100,Fabricação de bebidas,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1200,Fabricação de produtos do fumo,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1300,Fabricação de produtos têxteis,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1400,Confecção de artefatos do vestuário e acessórios,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1500,Fabricação de calçados e de artefatos de couro,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1600,Fabricação de produtos da madeira,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1700,"Fabricação de celulose, papel e produtos de papel",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1800,Impressão e reprodução de gravações,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1991,Refino de petróleo e coquerias,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,1992,Fabricação de biocombustíveis,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2100,Fabricação de produtos farmoquímicos e farmacêuticos,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2200,Fabricação de produtos de borracha e de material plástico,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2300,Fabricação de produtos de minerais não metálicos,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2491,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2492,Metalurgia de metais não ferosos e a fundição de metais,industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
42002,Chapecó,2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",industria,517,2015,3581200.0,60267845.0,1160787000.0,0.0030851482657886418,0.05942140456490522,0.05191981388489016
